Sales History Report Summary
item name,size,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,Sale,Pur,Adj,QoH,
1800 MARGIRITA 1.75L WATERMELON,1.75L,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-2,
1800 REPOSADO 50ML,50ML,0,0,0,0,0,0,1,0,0,2,0,3,6,0,0,-6,
1800 REPOSADO REPOSADO 50ML,50ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
1800 REPOSADO TEQUILLA 1.75L,1.75L,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,-6,
1800 SILVER SILVER 750ML,750ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
1800 SILVER TEQUILLA 50ML,50ML,0,0,0,0,0,0,1,3,0,1,5,1,11,0,0,0,
1800 TEQUILA 1.75L SILVER,1.75 L,0,0,0,0,0,2,4,5,1,4,5,4,25,0,0,-42,
1800 TEQUILA 50 ml COCONUT,50 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
1800 TEQUILA COCONUT 200ML,200ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2,
1800 TEQUILA REPOSADO 200 ML,225,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,
1800 TEQUILA SILVER 200 ML,225,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,-4,
1800 ULTIMATE MARGARITA 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
1800 ULTIMATE MARGARITA MIX 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
19 CRIMES 750mL CALI ROSE,750 mL,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-1,
19 CRIMES BANISHED RED 750ML,750ML,0,0,0,0,0,1,1,1,0,0,1,0,4,0,0,-5,
19 CRIMES CABERNET SAUVIGNON 750 mL,750 mL,0,0,0,0,0,11,5,8,4,3,7,2,40,0,0,-24,
19 Crimes Cali Red Snoop 750ml,,0,0,0,0,0,5,3,9,4,9,5,4,39,0,0,-50,
19 CRIMES CHARD 750ML,750ML,0,0,0,0,0,1,3,1,1,0,0,0,6,0,0,-11,
19 CRIMES PINOT NOIR 750 mL,750 mL,0,0,0,0,0,1,2,2,1,1,1,2,10,0,0,8,
19 CRIMES RED WINE 750 mL,750 mL,0,0,0,0,0,1,1,0,3,1,0,1,7,0,0,6,
19 Crimes Revolution Rose 750ml,,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,-7,
19 CRIMES SAUV BLANC 750ML,750ML,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-2,
19 CRIMES SHIRAZ 750ML,750ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-2,
19 CRIMES THE UPRISING 750ML,750ML,0,0,0,0,0,6,6,12,4,2,8,13,51,0,0,-72,
19 CRIMES WARDEN RED 750ML,,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,-2,
1911 BLACK CHERRY HARD CIDER 4pk16oz,16 OZ,0,0,0,0,0,0,5,3,4,1,5,5,23,0,0,-24,
1911 CRANBERRY HARD CIDER 4pk16oz,16 OZ,0,0,0,0,0,0,0,8,8,2,0,0,18,0,0,-19,
1911 Honeycrisp Cider 4pk 16oz Cans,,0,0,0,0,0,0,0,0,0,8,2,3,13,0,0,-13,
1911 ORIGINAL HARD CIDER 4pk16oz,16 OZ,0,0,0,0,0,0,0,3,6,3,0,2,14,0,0,-16,
1911 RASPBERRY HARD CIDER 4pk16oz,16 OZ,0,0,0,0,0,0,2,7,1,5,2,1,18,0,0,-19,
1911 ROSE HARD CIDER 4pk16oz,16 OZ,0,0,0,0,0,0,2,2,2,1,2,0,9,0,0,-9,
1911 TROPICAL HARD CIDER 4pk16oz,16 OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-1,
1911 WATERMELON MINT HARD CIDER 4pk16oz,16 OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,5,
1920 CRF 1L,1L,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
1920 CRF BRANDY 1 L,164,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
1924 DOUBLE BLACK CAB BOURBON 750 mL,750 mL,0,0,0,0,0,6,3,6,7,8,9,3,42,0,0,-51,
1934 STRAIGHT BOURBOM 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
2 FOR 1 $1,,0,0,0,0,0,0,0,0,0,16,6,12,34,0,0,-34,
2 GINGER IRISH WHISKEY 750ML,750ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
20X CASH,,0,0,0,0,0,4,11,0,0,0,0,0,15,0,0,-60,
21st AMENDMENT FREE IPA 6pk12oz,12 OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-1,
25 GRAND,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-6,
25, 50 OR 100,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-6,
25, 50 OR 100 BLOWOUT,,0,0,0,0,0,4,8,23,4,2,6,5,52,0,0,-90,
3 BLIND MOOSE CHARDONNAY 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3 BLIND MOOSE MERLOT 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3 FLOYDS 4pk16oz ALPHA KING,16 OZ,0,0,0,0,0,0,2,0,1,1,0,0,4,0,0,-4,
3 FLOYDS 4pk16oz ALPHA KING CAN,16 OZ,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-1,
3 FLOYDS 4pk16oz LASERSNAKE,16 OZ,0,0,0,0,0,3,1,1,0,1,0,0,6,0,0,-6,
3 FLOYDS 6pk12oz BARBARIAN HAZE IPA,12 OZ,0,0,0,0,0,1,7,0,0,0,0,0,8,0,0,-8,
3 FLOYDS 6pk12oz GUMBALLHEAD,12 OZ,0,0,0,0,0,0,2,0,1,0,0,0,3,0,0,-3,
3 FLOYDS 6pk12oz ZOMBIE DUST,12 OZ,0,0,0,0,0,4,0,5,0,2,1,0,12,0,0,-12,
30X CASH,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-1,
360 ECCO VODKA 750ML,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
360 VODKA 750 Ml,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
360 VODKA CHOCOLATE VODKA 50ML,50ML,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-1,
360 VODKA CHOCOLATE VODKA 750 ML,750ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
360 VODKA GEORGIA PEACH VODKA 750 ML,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,
360 VODKA GLAZED DONUT 750ML,750ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
360 VODKA VANILLA 750ML,750ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3X THE CASH,,0,0,0,0,0,27,33,33,20,14,8,4,139,0,0,-266,
3X THE CASH $3,,0,0,0,0,0,0,0,0,9,13,30,6,58,0,0,-58,
4 ORANGE VODKA 750 mL ORANGE,112,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2,
400 CONEJOS 750mL MEZCAL JOVEN OAXACA,750 mL,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-1,
42 BELOW VODKA NEW ZEALAND 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
44 NORTH HUCKLEBERRY VODKA 750ML,750ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
44 NORTH VODKA 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2,
5 HOUR ENERGY EXTRA STRENGTH  1.93oz,1.93OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
5 X $ 5.00,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-12,
5X THE MONEY,,0,0,0,0,0,30,36,56,46,32,29,12,241,0,0,-375,
7 Deadly Cab Cabernet Sauvignon 750ml,,0,0,0,0,0,1,4,2,2,3,1,2,15,0,0,-22,
7 Deadly Red 750ml,,0,0,0,0,0,0,8,2,1,0,0,1,12,0,0,-12,
7 DEADLY ZINS 750mL ZINFANDEL OLD VINE,750 mL,0,0,0,0,0,10,27,21,18,18,27,17,138,0,0,-141,
7 HEAVENLY CHARDONNAY 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
7 MOONS DARK SIDE RED BLEND 750ML,,0,0,0,0,0,1,3,4,6,1,0,0,15,0,0,-21,
7 MOONS RED BLEND 750 mL,750 mL,0,0,0,0,0,4,4,1,1,3,0,1,14,0,0,-7,
8 PM WHISKEY 50ML,50ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
8 SECONDS WHISKEY 750 mL HONEY CINNAMON,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-1,
90 PLUS CELLARS 1.5L PROSECCO 1.5L,1.5L,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
90 PLUS CELLARS BORDEAUX 750ML,750ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
90 PLUS CELLARS CAB SAUV 1.5L,1.5L,0,0,0,0,0,0,4,4,4,6,4,3,25,0,0,-27,
90 PLUS CELLARS MOSCATO D ASTI 750ML -37-,750ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-4,
90 PLUS CELLARS PINOT NOIR 750ML,750ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
90 PLUS CELLARS ROSE 750ML,750ML,0,0,0,0,0,1,3,5,1,1,1,7,19,0,0,-27,
90 PLUS CELLARS SHIRAZ  MCLAREN VALE 750ML,750ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
90 PLUS PROSECCCO 187 ML 187ML,187ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
90+ 750mL CABERNET SAUVIGNON,750 mL,0,0,0,0,0,0,10,2,5,2,3,2,24,0,0,-19,
90+ BIG RED BLEND 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,15,
90+ CELLARS 1.5L BIG RED BLEND,1.5 L,0,0,0,0,0,0,1,1,0,1,0,0,3,0,0,-3,
90+ CELLARS 1.5L PINOT NOIR,1.5 L,0,0,0,0,0,0,0,1,2,2,5,2,12,0,0,-12,
90+ CHARDONNY 750 mL,750 mL,0,0,0,0,0,0,0,0,4,3,1,0,8,0,0,-10,
90+ Lot 94 Napa Rutherford Cabernet Sauvignon 750ml,,0,0,0,0,0,0,0,1,2,0,0,0,3,0,0,-4,
90+ LOT#66  750mL RISLING,750 mL,0,0,0,0,0,0,2,1,0,0,1,1,5,0,0,-9,
90+ MALBEC 1.5 L -37-,1.5 L,0,0,0,0,0,3,3,1,1,1,0,1,10,0,0,-10,
90+ MALBEC 750 mL,750 mL,0,0,0,0,0,1,3,8,6,5,6,2,31,0,0,-18,
90+ PINOT GRIGIO 1.5 L,1.5 L,0,0,0,0,0,0,5,3,0,1,1,0,10,0,0,-4,
90+ PINOT GRIGIO 750 mL,750 mL,0,0,0,0,0,1,2,2,0,2,0,3,10,0,0,3,
90+ PROSECCO 750 mL,750 mL,0,0,0,0,0,3,4,6,3,1,2,3,22,0,0,-19,
90+ SAUVIGNON BLANC 750 mL,750 mL,0,0,0,0,0,1,4,4,3,1,1,0,14,0,0,-7,
90+ SAUVINGNON BLANC 1.5 L,1.5 L,0,0,0,0,0,4,14,6,9,10,7,6,56,0,0,-64,
90+LOT130 RUSSIAN RIVER CHARD 750ml,,0,0,0,0,0,6,4,6,4,5,5,5,35,0,0,-62,
901 SILVER 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,
99  GRAPE SCHNAPPS 1.0L,1.0L,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
99 50mL LEMON LIME,50 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-24,
99 APPLES 200 mL,200 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2,
99 APPLES 375 mL,375 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2,
99 APPLES 50 mL,50 mL,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,104,
99 APPLES 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
99 BANANAS 200 mL,200 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,
99 BANANAS 375 mL,375 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,
99 BANANAS 50 mL,50 mL,0,0,0,0,0,2,3,7,7,20,6,12,57,0,0,-155,
99 BANANAS 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
99 BLACK CHERRIES SCHNAPPS 375ML,375ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
99 BLACKBERRIES 375 mL,375 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,
99 BLACKBERRIES 50 mL,50 mL,0,0,0,0,0,4,0,3,14,14,0,12,47,0,0,31,
99 BLACKBERRY 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,
99 BLACKBERRY SCHNAPPS 1.0L,1.0L,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
99 BLACKCHERRIES 200 mL,200 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,
99 BLACKCHERRIES 375 mL,375 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,
99 BLACKCHERRIES 50 mL,50 mL,0,0,0,0,0,2,9,3,27,17,33,0,91,0,0,0,
99 BLACKCHERRIES 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,
99 BLK CINNAMON SCHNAPPS 750ML,750ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
99 BUTTERSCOTCH 50 mL,50 mL,0,0,0,0,0,0,5,5,2,2,1,4,19,0,0,62,
99 Cherry Limeade 50ml 12pk,50 mL,0,0,0,0,0,0,0,0,0,0,12,3,15,0,0,-15,
99 CINNAMON SCHNAAPS 50ML,50ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-12,
99 COCONUT 50mL,,0,0,0,0,0,0,0,1,0,3,13,0,17,0,0,-88,
