Sales History Report Summary
item name,size,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,Sale,Pur,Adj,QoH,
BOSTON PEACH BRANDY 1.75 L,1.75 L,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-6,
BOSTON PEACH BRANDY 375 mL,375 mL,0,0,0,0,0,2,0,3,0,0,0,0,5,0,0,18,
BOSTON PEACH BRANDY 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,3,
BOSTON ROCK & RYE 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BOTA BOX 1.5L CHARDONNAY,1.5 L,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BOTA BOX 1.5L MERLOT,1.5 L,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BOTA BOX 1.5L PINOT NOIR,1.5 L,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-5,
BOTA BOX 1.5L PINOTGRIGIO,1.5L,0,0,0,0,0,0,1,3,1,1,2,0,8,0,0,-15,
BOTA BOX 1.5L SHIRAZ,1.5 L,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BOTA BOX 1.5L WHITE ZINFANDEL,1.5 L,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BOTA BOX 3L CAB BOURBON BARREL,3 L,0,0,0,0,0,6,6,7,0,10,11,8,48,0,0,-53,
BOTA BOX 3L CAB SAUV,3 L,0,0,0,0,0,9,9,6,6,6,9,2,47,0,0,-70,
BOTA BOX 3L CHARDONNAY,3 L,0,0,0,0,0,5,12,13,12,10,9,9,70,0,0,-101,
BOTA BOX 3L MALBEC,3 L,0,0,0,0,0,2,7,5,2,3,3,2,24,0,0,-34,
BOTA BOX 3L MERLOT,3 L,0,0,0,0,0,4,8,7,6,3,1,3,32,0,0,-40,
BOTA BOX 3L MOSCATO,3 L,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BOTA BOX 3L NH GD VIBRANT SAUV BLANC,3 L,0,0,0,0,0,8,4,2,1,3,6,7,31,0,0,-46,
BOTA BOX 3L NIGHTAWK BLACK CABERNET,3 L,0,0,0,0,0,4,4,15,12,0,0,2,37,0,0,-50,
BOTA BOX 3L NIGHTHAWK BLACK RED,3 L,0,0,0,0,0,1,10,3,0,3,1,0,18,0,0,-22,
BOTA BOX 3L OLD VINE ZIN,3 L,0,0,0,0,0,3,8,8,1,0,0,1,21,0,0,-36,
BOTA BOX 3L PINOT GRIGIO,3 L,0,0,0,0,0,8,12,16,12,14,8,5,75,0,0,-100,
BOTA BOX 3L PINOT NOIR,3 L,0,0,0,0,0,5,5,11,9,2,4,3,39,0,0,-57,
BOTA BOX 3L REDVOLUTION,3 L,0,0,0,0,0,3,6,7,4,3,1,1,25,0,0,-34,
BOTA BOX 3L ROSE DRY,3 L,0,0,0,0,0,3,2,3,6,3,4,2,23,0,0,-27,
BOTA BOX 3L SAUV BLANC,3 L,0,0,0,0,0,8,15,17,15,10,18,4,87,0,0,-125,
BOTA BOX 3L SHIRAZ,3 L,0,0,0,0,0,2,0,1,0,0,1,1,5,0,0,-7,
BOTA BOX 500mL CAB SAUV,500 mL,0,0,0,0,0,1,9,5,4,0,2,1,22,0,0,-17,
BOTA BOX 500mL CHARDONNAY,500 mL,0,0,0,0,0,15,5,1,1,4,3,11,40,0,0,72,
BOTA BOX 500mL MERLOT,500 mL,0,0,0,0,0,1,0,3,1,0,1,0,6,0,0,15,
BOTA BOX 500mL PINOT GRIGIO,500 mL,0,0,0,0,0,1,2,11,4,5,8,2,33,0,0,-30,
BOTA BOX 500mL REDVOLUTION,500 mL,0,0,0,0,0,3,5,1,0,2,4,2,17,0,0,-39,
BOTA BOX 500mL ROSE DRY,500 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,18,
BOTA BOX 500mL SAUV BLANC,500 mL,0,0,0,0,0,2,2,8,1,2,1,10,26,0,0,-30,
BOTA BOX BUTTERY CHARD 3 LTR,3 LTR,0,0,0,0,0,2,5,7,3,2,2,1,22,0,0,-29,
Bota Brick 1.5 L,113,0,0,0,0,0,2,0,4,1,0,1,0,8,0,0,-10,
BOTA BRICK 1.5L REDVOLUTION,1.5 L,0,0,0,0,0,0,0,2,0,0,5,0,7,0,0,-7,
BOTA MINI 500mL NIGHTHAWK BOURBON CABERNET SAUVIGNON,500 mL,0,0,0,0,0,5,8,1,8,3,5,2,32,0,0,-35,
Bota Mini Nighthawk Black Pinot Noir 500ml,,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,-2,
BOTABOX CHARDONNAY 1.5L,1.5L,0,0,0,0,0,1,0,2,0,0,0,0,3,0,0,-5,
BOTABOX MOSCATO 500ML,500ML,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-4,
BOTABOX NIGHTHAWK BLACK 500ML,500ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BOTABOX RIESLING 3 LTR,3 LTR,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-2,
BOTANIST 750mL DRY GIN,750 mL,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,-1,
BOTTEGA VINALA PINOT GRIGIO 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,
Bottle Deposit,,0,0,0,0,0,2049,3068,3343,2459,2411,3012,2132,18474,0,0,0,
Bottle Deposit Redeem,EACH,0,0,0,0,0,-1915,-2639,-4371,-2516,-2469,-2709,-1844,-18463,0,0,27737,
BOTTLE STOPPER,EACH,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BOUCHANT ORANGE 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BOULEVARD RESTLESS NIGHTS 4pk16oz CANS,16 OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-1,
BOUTARI KRETIKOS RED 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BOUTARI NAOUSSA DRY RED 750ML,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BOUVIER BOURG ROUGE 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BOVIO DOLCETTO D ALBA 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BOWMORE 12 YR SINGLE MALT 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BOWMORE SINGLE MALT WHISKY 750ML,750ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BOX BOX NIGHTHAWK BLACK LUSH PINOT NOIR 3 L,,0,0,0,0,0,3,1,0,0,0,0,0,4,0,0,-11,
BOYA ROSE 750ml,,0,0,0,0,0,0,6,7,4,2,6,2,27,0,0,-43,
BR CHON CABERNET SAUVIGNON 750 mL,750 mL,0,0,0,0,0,0,0,1,1,1,0,0,3,0,0,-1,
BR CHON SILVER LABEL CHARD 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BR COHN   2002V CHARDONNAY RESERVE 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BR COHN 750mL PINOT NOIR,750 mL,0,0,0,0,0,0,1,2,0,0,1,0,4,0,0,-4,
BR COHN OLIVE HILL CABERNET R 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BRADY-S IRISH CREAM LIQUEUR 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,7,
BRAIDE BARBERA D-AL BARBERA D-AL 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BRANCAIA ROSSO DI TOSCANO 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Brancott Flight song Sauvignon Blanc 750ml,,0,0,0,0,0,0,0,3,0,1,1,0,5,0,0,-11,
BRANCOTT SAUVIGNON BLANC 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BRANSON COGNAC VS PHANTOM 750ML,750ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,
BRANSON COGNAC VSOP ROYAL 750ML,750ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,
BRAZIN OLD VINE ZINFANDEL 750 mL,750 mL,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,-2,
BREAD & BUTTER 750ML CHARDONNAY,750ML,0,0,0,0,0,27,18,17,13,13,7,10,105,0,0,-141,
BREAD & BUTTER CABERNET SAUVINON 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,4,
BREAD & BUTTER PINOT NOIR 750ML,750ML,0,0,0,0,0,3,5,5,5,2,3,1,24,0,0,-29,
BREAD & BUTTER ROSE 750ML,750ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BRECA GARNACHA 750ML,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BRECKENRIDGE AUTUMN ALE 12oz BOTTLES,12 OZ,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-1,
BRECKENRIDGE AUTUMN ALE 6pk12oz BOTTLES,12 OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-2,
BRECKENRIDGE BOURBON WHISKEY 1.75 L,209,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BRECKENRIDGE BOURBON WHISKEYS 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,
BRECKENRIDGE OATMEAL STOUT 12oz BOTTLES,12 OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BRECKENRIDGE OATMEAL STOUT 6pk12oz BOTTLES,12 OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-1,
BRECKENRIDGE XPRESSO VODKA 750 ML,750ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BREMERTON TAMBLYN 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Brewdog Hazy AF 4pk 12oz,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Brewdog Mix 12pk 12oz Cans,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Brewdog Nanny State 4pk 12oz,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Brewdog Punk AF 4pk 12oz,,0,0,0,0,0,0,0,1,0,1,2,0,4,0,0,-4,
Brewdog Wake Up Call 4pk 12oz,,0,0,0,0,0,0,0,1,3,0,0,0,4,0,0,-4,
BREZZA CHARDONNAY 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BRITISH NAVY PUSSER-S RUM 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,
BROAD BROOK 4pk16oz ADVERSITY IPA,16 OZ,0,0,0,0,0,0,0,0,1,3,1,1,6,0,0,-12,
BROAD BROOK BERLINER 4pk16oz CANS,16 OZ,0,0,0,0,0,0,0,0,0,3,2,0,5,0,0,-11,
BROAD BROOK EUPHORIA 4pk16oz CANS,16 OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BROAD BROOK HOPSTILLO 4pk16oz IPA CANS,16 OZ,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,-9,
Broad Brook Oktoberfest 4pk 16oz,,0,0,0,0,0,4,2,0,0,0,0,0,6,0,0,-12,
BROAD BROOK PORTER ALE 4pk16oz CANS,16 OZ,0,0,0,0,0,5,1,0,0,0,0,0,6,0,0,-14,
Broadbrook Jigawatts 4pk 16oz,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-12,
Broadbrook Lucid Dreams Unfiltered IPA 4pk 16oz,16 OZ,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,-2,
Broadbrook Mi Amore 4pk 16oz,16 OZ,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,-2,
Brockmans Gin 750ml,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BROCKMANS PREMIUM GIN 750 ML,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BROGLIA GAVI LA MEIRANA 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BROTHER HOOD RIESLING 750ML,750ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BROTHERHOOD HOLIDAY 750 mL,750 mL,0,0,0,0,0,0,0,4,0,0,1,0,5,0,0,-5,
BROTHERHOOD MAY WINE 750ML,750ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BROTHERHOOD PORT 750ML,750ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BROWN JUG BBN CR 750ml,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BRUGAL 1888 RUM 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BRUGAL ANEJO 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,
BRUGAL ANEJO RUM 1.75L,1.75L,0,0,0,0,0,0,1,0,0,0,1,1,3,0,0,0,
BRUGAL ANEJO RUM 750ML,750 mL,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-1,
BRUGAL ANEJO RUM 750ML,750ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BRUGAL EXTRA DRY 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,12,
BRUGAL EXTRA VIEJO 750ML,750ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BRUICHLADDICH SCOTTISH 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,
BRUN BEAUJOLAIS BLANC CHARDONNAY 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BRUNELLESCO MONTEPULICIANO 1.5L,1.5L,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BRUNI MORELLINO SCANSANO 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BUBBAS SECRET STILL 750ML,750ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BUCHANANS 12 YEAR OLD SCOTCH 1.75L,1.75L,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-1,
BUCHANANS 12 YEAR OLD SCOTCH 750ML,750ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BUCHANANS 18 YEAR OLD SCOTCH 750ML,750ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BUCHANANS SCOTCH WHISKEY 200ML,200ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,3,
BUCHANANS SCOTCH WHISKEY 375ML,375ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BUD 16oz ALUMINIUM BOTTLE,16 OZ,0,0,0,0,0,1,9,3,4,1,8,5,31,0,0,-53,
BUD CHELADA 4pk16oz CANS,16 OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-32,
BUD DISCOVERY RSV RED LAGER 12oz BOTTLE,12 OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BUD DISCOVERY RSV RED LAGER 6pk12oz,12 OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-1,
BUD ICE 25oz CAN,25 OZ,0,0,0,0,0,34,45,13,10,8,20,9,139,0,0,-248,
BUD ICE 30pk12oz CANS,12 OZ,0,0,0,0,0,2,1,2,0,1,1,0,7,0,0,-12,
BUD LAGER 12oz BOTTLE,12 OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-4,
BUD LAGER 12pk 12oz CANS,12 OZ,0,0,0,0,0,11,22,26,19,12,19,13,122,0,0,-180,
BUD LAGER 12pk12oz BOTTLES,12OZ,0,0,0,0,0,5,5,5,8,4,11,7,45,0,0,-7,
BUD LAGER 12pk16oz ALUMINIUM BOTTLES,16 OZ,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,-2,
BUD LAGER 18pk12oz BOTTLES,12 OZ,0,0,0,0,0,1,2,5,1,4,4,1,18,0,0,-20,
BUD LAGER 18pk12oz CANS,12 OZ,0,0,0,0,0,7,8,9,9,10,11,9,63,0,0,-80,
BUD LAGER 22oz BOTTLE,22 OZ,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,3,
BUD LAGER 24pk12oz BOTTLES,12 OZ,0,0,0,0,0,7,12,11,7,7,9,6,59,0,0,-90,
BUD LAGER 24pk12oz SUITCASE CANS,12 OZ,0,0,0,0,0,15,26,28,30,23,19,23,164,0,0,-243,
BUD LAGER 25oz CAN,25 OZ,0,0,0,0,0,1,7,2,2,1,3,2,18,0,0,-34,
BUD LAGER 30pk12oz CANS,12 OZ,0,0,0,0,0,17,22,36,20,15,19,15,144,0,0,-202,
BUD LAGER 40oz BOTTLE,40 OZ,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,-16,
BUD LAGER 6pk12oz BOTTLES,12 OZ,0,0,0,0,0,1,2,4,13,5,6,2,33,0,0,-42,
BUD LAGER 6pk16oz CANS,16 OZ,0,0,0,0,0,1,0,0,0,0,1,2,4,0,0,-3,
BUD LAGER 6pk7oz PONIES BOTTLE,7OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BUD LAGER 7oz PONIE BOTTLE,7OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BUD LIGHT 25oz SELTZER LEMONADE,25 OZ,0,0,0,0,0,0,0,0,0,1,1,2,4,0,0,-4,
BUD LIGHT 25oz SELTZER STRAWBERRY LEMONADE,25 OZ,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,-2,
BUD Light 30pk12oz CANS,12 OZ,0,0,0,0,0,57,73,87,54,64,67,51,453,0,0,425,
Bud Light 6pk 16oz Cans,,0,0,0,0,0,0,5,3,3,2,6,0,19,0,0,-19,
Bud Light Lemonade Mix 12pk 12oz Cans,,0,0,0,0,0,0,0,0,2,2,2,3,9,0,0,-9,
BUD LIGHT PLATINUM 16 OZ CANS 16 OZ,16 OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Bud Light Platinum Seltzer Mix 6pk 12oz,,0,0,0,0,0,3,9,2,1,2,5,4,26,0,0,-28,
Bud Light Seasonalr Seltzer 12pk 12oz,12 OZ,0,0,0,0,0,0,7,3,0,0,4,0,14,0,0,-14,
Bud Light SS 16oz Can,,0,0,0,0,0,3,5,10,4,5,0,5,32,0,0,-29,
BUD LT 16oz ALUMINIUM BOTTLE,16 OZ,0,0,0,0,0,21,30,14,5,5,21,10,106,0,0,-199,
BUD LT 18pk12oz BOTTLES,12 OZ,0,0,0,0,0,3,5,10,10,7,9,6,50,0,0,-79,
BUD LT 18pk12oz CANS,12 OZ,0,0,0,0,0,12,24,26,18,19,21,16,136,0,0,-194,
BUD LT 24pk12oz BOTTLES,12 OZ,0,0,0,0,0,9,11,9,10,11,14,8,72,0,0,-99,
Bud LT 6pk 12oz Cans,,0,0,0,0,0,10,24,29,13,15,20,21,132,0,0,-163,
BUD LT CHELADA 25oz CAN,25 OZ,0,0,0,0,0,2,4,0,3,1,2,1,13,0,0,-67,
BUD LT LAGER 12oz BOTTLE,12 OZ,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,-8,
BUD LT LAGER 12pk12oz BOTTLES,12 OZ,0,0,0,0,0,4,8,13,9,12,10,6,62,0,0,-91,
BUD LT LAGER 12pk12oz CANS,12 OZ,0,0,0,0,0,22,36,40,40,50,38,33,259,0,0,-390,
BUD LT LAGER 12pk16oz ALUMINIUM BOTTLES,16 OZ,0,0,0,0,0,5,9,4,0,0,1,2,21,0,0,-45,
BUD LT LAGER 22oz BOTTLE,22 OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-5,
BUD LT LAGER 24pk12oz SUITCASE CANS,12 OZ,0,0,0,0,0,7,11,22,11,11,5,6,73,0,0,-115,
BUD LT LAGER 25oz CAN,25 OZ,0,0,0,0,0,26,45,47,16,7,4,1,146,0,0,-201,
BUD LT LAGER 40oz BOTTLE,40 OZ,0,0,0,0,0,0,2,3,1,1,1,0,8,0,0,-2,
BUD LT LAGER 6pk12oz BOTTLE,12 OZ,0,0,0,0,0,9,17,7,13,8,18,7,79,0,0,-118,
BUD LT LAGER 6pk7oz MINI BOTTLE,7OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,21,
BUD LT LAGER 7oz MINI BOTTLE,7OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BUD LT LEMON 25oz,25 OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BUD LT LEMONADE 12pk12oz CANS,12 OZ,0,0,0,0,0,2,0,1,0,0,0,1,4,0,0,-12,
BUD LT LIME 12oz BOTTLES,12 OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-5,
BUD LT LIME 12pk12oz BOTTLES,12 OZ,0,0,0,0,0,2,2,1,3,1,1,3,13,0,0,-19,
BUD LT LIME 12pk12oz CANS,12 OZ,0,0,0,0,0,1,0,0,1,0,0,1,3,0,0,-8,
BUD LT LIME 16oz ALUMINIUM BOTTLE,16 OZ,0,0,0,0,0,1,1,0,3,0,0,0,5,0,0,-35,
BUD LT LIME 18pk12oz BOTTLES,12 OZ,0,0,0,0,0,2,3,7,4,2,5,1,24,0,0,-39,
BUD LT LIME 18pk12oz CANS,12 OZ,0,0,0,0,0,0,0,0,2,1,2,1,6,0,0,-8,
BUD LT LIME 22oz BOTTLE,22 OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-1,
BUD LT LIME 24oz CAN,25 OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BUD LT LIME 4pk16oz CANS,16 OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-13,
BUD LT LIME 6pk12oz BOTTLES,12 OZ,0,0,0,0,0,2,1,1,1,0,1,3,9,0,0,-18,
BUD LT ORANGE 12oz BOTTLE,12 OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BUD LT ORANGE 12pk12oz BOTTLES,12 OZ,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,-10,
BUD LT ORANGE 12pk12oz CANS,12 OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,10,
BUD LT ORANGE 24pk12oz SUITCASE,12 OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-4,
BUD LT ORANGE 25oz CAN,24 oz,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-5,
BUD LT ORANGE 6pk12oz BOTTLES,12 OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2,
BUD LT PEELS VARIETY 12pk12oz CANS,12 OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,
BUD LT PLATINUM 12oz BOTTLE,12 OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-1,
BUD LT PLATINUM 12pk12oz BOTTLES,12 OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,5,
BUD LT PLATINUM 12pk12oz CANS,12 OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,7,
BUD LT PLATINUM 18pk12oz BOTTLES,12 OZ,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,-4,
BUD LT PLATINUM 22oz BOTTLE,22 OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BUD LT PLATINUM 4pk16oz CANS,16 OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-1,
BUD LT PLATINUM 6pk12oz BOTTLES,12 OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BUD LT SELTZER 24pk12oz SUITCASE,12 OZ,0,0,0,0,0,1,3,3,0,1,2,2,12,0,0,-15,
BUD LT SELTZER BLACK CHERRY 12pk12oz,12 OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-8,
BUD LT SELTZER BLACK CHERRY 25oz CAN,25 OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BUD LT SELTZER LEMON LIME 12pk12OZ,12 OZ,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-10,
BUD LT SELTZER LEMON LIME 25oz CAN,25 OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BUD LT SELTZER MANGO 12pk12oz,12 OZ,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,-9,
BUD LT SELTZER MANGO 25oz CAN,25 OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-1,
BUD LT SELTZER REMIX 12pk 12oz,12 OZ,0,0,0,0,0,3,11,22,5,3,11,12,67,0,0,-88,
BUD LT SELTZER STRAWBERRY  25oz CAN,25 OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BUD LT SELTZER VARIETY PACK 12pk12oz,12 OZ,0,0,0,0,0,2,3,2,3,1,1,0,12,0,0,-25,
Bud LT SS 12oz Can,,0,0,0,0,0,11,21,14,17,22,15,7,107,0,0,-130,
BUD NITRO RSV GOLD LAGER 6pk12oz,12 OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BUD ZERO ALC. 12pk12oz CANS,12 OZ,0,0,0,0,0,0,0,0,0,0,1,4,5,0,0,-5,
Budweiser 6pk 12oz Cans,,0,0,0,0,0,4,7,8,2,7,10,6,44,0,0,-54,
BUDWEISER NITRO RESERVE GOLD 12pk12oz CANS,12 OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-4,
BUDWEISER NITRO RESERVE GOLD 6pk12oz CANS,12 OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Budweiser SS 12oz Can,,0,0,0,0,0,5,8,6,10,10,14,7,60,0,0,-67,
Budweiser SS 16oz Can,,0,0,0,0,0,3,1,3,1,6,4,7,25,0,0,-24,
Budweiser Zero 6pk 12oz bts,,0,0,0,0,0,0,0,0,0,1,3,0,4,0,0,-4,
Budweiser Zero 6pk 12oz Cans,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BUENA VISTA MERLOT 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BUENA VISTA ZIN 750ML,750ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BUFFALO ARACE BOURBON CREAM 750ML,750ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BUFFALO TRACE 375 mL WHITE DOG RYE MASH WHISKEY,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BUFFALO TRACE 375 mL WHITE DOG WHEATED MASH WHISKEY,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BUFFALO TRACE 750mL BOURBON,750 mL,0,0,0,0,0,0,1,5,0,1,2,1,10,0,0,-13,
BUFFALO TREACE 375 mL WHITE DOG MASH #1,375ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BUFFALO TREACE KENTUCKY BOURBON 1.75L,1.75L,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BUKOFF VODKA 1.0 L,1.0 L,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
BUKOFF VODKA 1.75 L,1.75 L,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,4,
BUKOFF VODKA 200 mL,200 mL,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,
BUKOFF VODKA 375 mL,375 mL,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,33,
BUKOFF VODKA 750 mL,750 mL,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-2,
BUKOFF VODKA CITRUS 1.75 L,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
